Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars)
7.974491,8.41845,0.9842956,7.78306,162.39082,11.099949,1011.0877
-1.4793917,-4.118075,0.7957614,9.7482815,133.99825,9.550829,1022.54175
-1.139553,0.28282744,0.97226006,1.6123618,235.24725,1.0315968,1018.39606
5.256083,4.360704,0.80067945,10.419284,169.72826,11.038795,1024.1273
3.7179103,1.8729872,0.61712956,14.169557,54.858246,16.086197,1029.454
9.862153,8.564171,0.76101047,16.195667,260.23602,9.794634,1009.1718
17.262667,18.441504,0.8576765,2.6781008,93.19832,12.249862,1008.5237
11.4220495,11.657316,0.72401065,7.7390523,312.00934,16.096455,1023.20435
11.835603,11.693926,0.70745295,21.569365,13.952696,9.3810425,1009.6994
18.744732,19.562553,0.82981706,8.163821,333.3965,12.05247,993.98676
9.737772,11.072053,0.9549773,3.0712767,166.92024,1.0964293,1011.022
10.099907,10.396218,0.90772885,6.004616,28.266552,8.24208,1016.5573
15.019636,14.594645,0.71804804,15.895569,163.40077,14.13885,1010.3729
-4.1778674,-7.181639,0.98357314,12.604267,180.6052,0.15939789,1025.1718
31.487307,32.04647,0.36509466,8.852087,271.2654,16.07677,1016.70135
10.311185,10.030738,0.8403579,3.8933887,60.528404,7.8739758,1022.50024
16.693697,16.387875,0.8631831,15.427391,229.0867,7.970724,1003.11316
8.056695,9.287656,0.8753985,0.34784263,169.95486,9.513113,1011.1302
11.550699,11.649734,0.7936248,8.396503,281.0898,14.006136,1011.61774
16.063536,15.733534,0.67482924,15.5727005,182.42776,15.817089,1013.37604
3.8660502,2.4017365,0.85456973,10.6223135,289.16336,5.554735,1019.1559
22.389633,22.580873,0.5117664,13.970865,85.95479,15.565115,1016.372
19.39679,19.19562,0.5496641,11.9766035,139.36308,15.40637,1014.20374
6.951222,6.02286,0.8615839,9.210131,88.76957,7.3642974,1017.19336
21.076332,21.302158,0.38087994,19.797735,32.28681,10.428519,1021.20264
8.953283,7.917419,0.9086201,30.779673,304.18613,9.629906,1016.74786
5.4733396,6.562936,0.95557284,3.5618424,164.70271,0.46172222,1013.7683
7.7824244,6.8034406,0.76586854,11.424948,145.22609,9.951075,1017.775
23.777897,24.455217,0.37873024,14.251189,311.5868,10.531827,1015.4849
5.054476,4.1879086,0.990308,8.968848,34.970474,0.5267267,1014.4623
12.119377,13.372071,0.85411304,1.4496349,51.03951,15.993482,1024.2003
32.43907,33.102093,0.33107314,7.4253283,316.79074,10.485133,1011.6575
2.7103572,2.6942143,0.90198475,4.7549863,119.6107,0.34356594,1022.71954
20.678566,20.972933,0.49217564,11.011386,7.304785,15.908319,1020.96075
21.869621,22.560984,0.6102137,7.183958,249.16351,10.177301,1028.9348
16.01123,17.169466,0.9754404,3.9534035,219.24261,7.928783,1.8512022
14.663513,15.314416,0.9756318,9.699692,66.93098,7.906013,1001.2925
27.337723,27.757902,0.54663914,16.789923,11.298532,10.665748,1028.2751
