Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars)
18.37455,17.323587,0.66290313,5.98388,285.46527,10.472167,1016.82935
15.13572,12.156729,0.93625283,13.64877,313.71652,15.980916,1007.8062
16.597282,15.165278,0.48434582,18.967659,356.4553,10.194298,1024.2388
14.524441,11.495527,0.77778697,19.099735,139.70723,11.439168,1019.86304
0.5751249,-3.6709373,0.8852487,12.521717,236.7166,9.215387,1020.04297
2.5522943,-2.6721566,0.84594524,17.104078,53.81012,10.023163,1026.5421
9.60413,7.263053,0.7462067,14.0408745,271.40094,9.905753,1008.4844
11.137845,9.683357,0.976715,4.9202924,166.87547,2.546189,1032.665
7.381374,4.9364457,0.7626256,12.026762,1.2256285,10.459941,973.6716
6.832882,4.1176567,0.85832155,13.78998,20.514551,7.7650404,994.40814
9.34826,7.128045,0.8718321,9.593553,315.92065,7.413897,1018.96313
20.032629,18.971315,0.6037764,10.762249,21.666058,16.014828,1024.9238
22.242136,21.703737,0.5563339,9.65503,295.79843,10.408943,1024.6489
15.700971,14.264447,0.913034,1.885212,14.2532835,9.727518,1027.4618
23.545279,23.154089,0.49504927,12.963393,141.4837,10.09254,1029.1807
29.925447,28.172688,0.9971916,6.2267985,354.2119,16.09987,1039.8092
33.29501,32.493507,0.41514042,10.643876,22.823431,10.566224,1016.97284
9.301084,5.3243136,0.78451097,8.011694,353.22235,16.096104,1026.4994
-3.2126184,-9.52671,0.937372,18.693026,339.75363,4.727294,1021.8899
10.261699,6.859005,0.73768276,19.650063,320.31686,15.69265,1001.61053
22.24797,21.630901,0.46682832,16.99242,177.80763,10.148472,1022.87164
25.576662,25.578043,0.74898756,5.8492703,183.7758,10.789286,2.3228643
16.00696,15.171353,0.6335967,14.683755,202.33888,11.886384,3.5160902e-20
13.82424,12.303104,0.81954753,13.494478,165.25613,11.259833,996.8279
9.867609,7.8917813,0.92514575,8.295247,145.06017,15.277641,1019.78925
8.3051405,6.381241,0.9724644,5.840163,158.40627,2.8631403,1029.1918
29.800955,28.244823,0.92383504,10.298952,133.3097,11.389787,1031.4761
8.198413,2.665079,0.6550016,34.52866,300.8954,12.590517,1016.7397
20.411198,19.049938,0.8739589,4.5819197,314.2159,16.095545,1032.426
7.95548,3.7151713,0.8331494,21.758715,45.483734,11.565341,998.64813
19.026428,16.945066,0.969505,17.557222,261.4885,10.103303,1018.6471
23.09366,21.369955,0.84805244,0.17274578,19.99895,13.2665615,1026.6709
37.092724,37.10575,0.6979641,12.734781,351.4912,7.3534493,1014.6178
-1.4533426,-6.3948855,0.71901584,10.4598465,272.14926,15.850391,1017.47
23.41257,21.339373,0.966962,6.8510737,207.34682,16.099176,1030.3186
22.17499,21.685463,0.4750785,12.485464,100.031975,10.108192,1026.5524
18.959023,17.94618,0.63404536,11.311493,325.91006,10.228691,1024.5642
15.641627,14.319693,0.9363636,10.880954,181.07248,6.0386057,1019.17114
15.670877,14.039284,0.7560417,3.4924657,330.8522,10.446126,1017.4151
12.915367,10.435298,0.8845253,0.5569883,306.16217,10.642438,1023.0599
15.521882,14.198079,0.920337,8.177504,45.790504,3.5050342,1028.9705
32.58759,32.421482,0.5000375,12.305602,291.53946,10.262771,1010.65906
28.155832,26.89765,0.3710448,31.19004,152.06468,10.047581,1034.6525
8.125707,5.204237,0.7352278,14.6650305,259.16516,13.631709,1007.6225
6.37344,2.120317,0.9169483,19.364376,179.13441,11.435771,996.8301
9.059721,6.9058237,0.74523735,6.8016033,306.17343,13.991974,1017.6914
7.945265,5.458456,0.93362683,8.241425,28.808084,6.3922687,1027.588
11.904898,9.881836,0.5611283,20.154478,147.25832,10.768595,970.1014
12.412588,9.986174,0.863321,1.7510359,311.6939,10.508036,1021.7291
